52,69846,77289,68499,70854,78926,68062,73399,75439,74745,77061
53,68495,76286,68499,70504,78926,66556,72987,74816,73511,76684
54,67976,75936,67417,68351,78135,66072,71626,74644,71968,76684
55,67530,75815,66525,66683,76930,66072,71621,73609,71367,74881
56,67470,75506,66525,66085,75699,65872,71621,73374,70812,74501
57,65347,72663,65800,64975,74755,64821,71081,73097,70381,73415
58,63459,71189,63571,64975,73471,64821,70456,72467,69892,72963
59,61582,70907,63571,63723,72039,64484,70118,72283,68954,71602
60,60960,70162,63387,63537,71660,64146,69788,69925,67015,68701
61,60960,68815,62125,62209,70925,64146,69788,69285,66410,67730
62,59711,68379,62125,62209,70876,62770,68564,67860,65822,67730
63,58941,68055,61082,62001,70284,62726,67985,67199,64630,67534
64,58037,66685,61082,62001,70284,61782,66071,67199,64315,67534
65,58037,66149,59938,61259,68896,61369,64967,66527,64164,65699
66,57563,65791,59938,60401,68324,59101,63116,66479,64164,63952
67,56084,65791,59938,60387,68286,59101,62662,66475,63963,63362
68,54936,65783,59386,60257,68200,58811,62662,65900,63096,63362
69,54340,65102,59386,59634,68022,58145,62662,65433,62145,63085
70,53890,63452,55706,58141,67847,58145,62662,65433,62145,62369
71,53331,63213,55459,58091,67847,58084,61388,64005,61965,61923
72,53307,62755,55459,57702,67094,57722,58616,62169,61965,60743
73,52938,62309,55459,57555,65590,57485,58441,61592,61244,60743
74,52303,62113,54863,57555,64809,56904,58433,61284,60558,60619
75,52303,61101,54113,56832,64594,56335,58433,60653,60558,60392
76,51993,61101,53744,56832,64594,56335,58354,59701,59298,60041
77,51347,60221,53688,56832,64547,55529,57717,58624,58913,59514
78,50254,58025,53516,54822,64223,55043,57715,58624,58271,59131
79,50101,57245,53031,54544,63532,55043,57098,58445,57192,58694
80,49677,57202,52887,54031,63234,54101,57098,58445,56811,58694
81,49611,56541,52160,54031,62835,53370,56893,58272,56811,58255
82,49611,55129,51920,53861,62628,53264,56601,58113,56794,58181
83,48759,55118,51920,53640,62628,53239,56601,57870,56794,58181
84,48740,55118,51147,52950,62628,52421,56458,57312,56196,57808
85,48338,54911,51147,52309,62137,51771,56458,57013,55703,57675
86,48312,54849,51147,51598,62137,51771,56048,56775,55703,55825
87,47989,54849,51147,51423,62137,51152,55539,56619,55161,54769
88,47934,52909,51146,51369,62123,51152,54997,56294,55161,54751
89,47688,52693,50345,50617,61052,50380,54974,56032,54195,54751
90,47644,52643,50345,50617,61052,50380,54350,55526,53719,54518
