iteration,quality_00,quality_01,quality_02,quality_03,quality_04
271,56226,55803,55937,56094,55638
272,56226,55803,55937,56094,55638
273,56226,55803,55937,56094,55638
274,56226,55803,55937,56094,55638
275,56226,55803,55937,56094,55638
276,56226,55803,55937,56094,55638
277,56226,55803,55937,56094,55638
278,56226,55803,55937,55896,55638
279,56226,55803,55937,55896,55638
280,56226,55803,55937,55896,55638
281,56226,55803,55937,55896,55638
282,56226,55803,55937,55896,55638
283,56226,55803,55937,55896,55638
284,56226,55803,55937,55896,55638
285,56226,55632,55937,55896,55638
286,56226,55632,55937,55896,55638
287,56226,55632,55937,55896,55638
288,56226,55632,55937,55896,55638
289,56226,55632,55937,55896,55638
290,56226,55632,55937,55896,55638
291,56226,55632,55937,55896,55638
292,56226,55632,55937,55896,55638
293,56226,55632,55937,55896,55638
294,56226,55632,55937,55896,55638
295,56226,55632,55937,55896,55638
296,56226,55632,55937,55896,55638
297,56226,55632,55937,55896,55638
298,56226,55632,55937,55896,55638
299,56226,55632,55937,55896,55638
300,56226,55632,55937,55896,55638
301,56097,55632,55937,55896,55638
302,56097,55632,55937,55896,55638
303,56097,55632,55937,55896,55638
304,56097,55632,55937,55705,55638
305,56097,55632,55937,55705,55638
306,56097,55632,55937,55705,55638
307,56097,55632,55937,55705,55638
308,56097,55632,55937,55705,55638
309,56097,55632,55937,55705,55638
310,56097,55632,55937,55661,55638
311,56097,55632,55937,55661,55638
312,56097,55632,55937,55661,55638
313,56097,55632,55937,55661,55638
314,56097,55632,55937,55661,55638
315,56097,55632,55937,55661,55638
316,56097,55632,55937,55661,55638
317,56097,55632,55937,55661,55638
318,56097,55632,55937,55661,55638
319,56093,55632,55937,55661,55638
320,56093,55632,55937,55661,55638
321,56093,55632,55937,55661,55638
322,56093,55632,55937,55661,55638
323,56093,55632,55937,55661,55638
324,56093,55632,55937,55661,55638
325,56093,55632,55937,55644,55638
326,56093,55632,55937,55644,55316
327,56093,55632,55937,55644,55316
328,56003,55632,55937,55644,55316
329,56003,55632,55937,55644,55316
330,56003,55632,55937,55644,55316
331,56003,55632,55937,55644,55316
332,56003,55632,55937,55644,55316
333,56003,55632,55937,55644,55316
334,56003,55632,55937,55644,55316
335,56003,55632,55937,55644,55316
336,56003,55632,55937,55644,55316
337,56003,55632,55937,55644,55316
338,56003,55632,55937,55644,55316
339,56003,55632,55937,55644,55316
340,56003,55632,55937,55644,55316
341,56003,55632,55937,55644,55316
342,56003,55632,55937,55644,55316
343,56003,55632,55937,55644,55316
344,56003,55632,55937,55644,55316
345,56003,55632,55937,55644,55316
346,56003,55632,55937,55644,55316
347,56003,55632,55937,55644,55316
348,56003,55632,55937,55644,55316
349,56003,55632,55937,55644,55316
350,56003,55632,55937,55644,55316
351,56003,55632,55937,55644,55299
352,56003,55632,55937,55644,55299
353,56003,55632,55937,55644,55299
354,56003,55632,55937,55644,55299
355,56003,55632,55937,55644,55299
356,56003,55632,55937,55644,55208
357,56003,55632,55937,55644,55208
358,56003,55632,55937,55644,55208
359,55816,55614,55937,55644,55208
360,55816,55614,55937,55644,55208
